method,segment,value,samples,gt_hands,pred_hands,matched_hands,hand_recall,hand_precision,hand_f1,e2e_pck_005,e2e_pck_010,matched_pck_005,matched_pck_010,mean_pixel_error,mean_nme,handedness_accuracy,pa_mpjpe_mm,mean_runtime_ms,median_runtime_ms,p95_runtime_ms,mean_landmark_runtime_ms
Google MediaPipe Hand Landmarker,overall,all,830,1658,1475,1470,0.8866103739445115,0.9966101694915255,0.9383977018831791,0.30217129071170085,0.5910448618530645,0.3408163265306122,0.6666342727567217,27.181134907571934,0.100816699499026,0.8367346938775511,18.588902235031547,32.19817995601502,23.6855914699845,60.42870399542153,32.19817995601502
Google MediaPipe Hand Landmarker,task,Affix Shipping Label (on Package Surface),118,236,229,229,0.9703389830508474,1.0,0.9849462365591398,0.42493946731234866,0.7522195318805488,0.4379288833437305,0.7752131420253691,22.562339679431755,0.07726760238786179,0.8296943231441049,16.851756610739233,31.80208859937581,23.81411148235202,60.0581853184849,31.80208859937581
Google MediaPipe Hand Landmarker,task,Clean Pastry Tongs,130,260,240,239,0.9192307692307692,0.9958333333333333,0.956,0.29102564102564105,0.5575091575091575,0.31659693165969316,0.606495317792389,28.80710671843295,0.1112730293774399,0.7740585774058577,19.027574430214546,33.99805369330212,23.767935490468517,60.74088446039241,33.99805369330212
Google MediaPipe Hand Landmarker,task,Organize Weightlifting Wrist Wraps,174,348,315,314,0.9022988505747126,0.9968253968253968,0.947209653092006,0.4454022988505747,0.7620415982484948,0.49363057324840764,0.8445556566575675,17.872602927270474,0.06613226081281953,0.9426751592356688,13.845993593069556,32.90892040207126,23.639935010578483,61.808447344810695,32.90892040207126
Google MediaPipe Hand Landmarker,task,Showerhead Descaling by Scrubbing,408,814,691,688,0.8452088452088452,0.9956584659913169,0.9142857142857143,0.2089037089037089,0.48192348192348194,0.2471622369878184,0.5701827242524917,32.4020300910937,0.12085244680278258,0.8125,21.179363000860434,31.43613671244227,23.656687000766397,60.31151419156231,31.43613671244227
Google MediaPipe Hand Landmarker,camera,left,415,829,742,737,0.8890229191797346,0.9932614555256065,0.9382558879694461,0.29771957033718194,0.5869952323510828,0.3348840214511856,0.660270078180526,27.630890440022984,0.10320898851093514,0.8263229308005428,19.058688416506534,32.07471942015733,23.77315197372809,60.20124051137827,32.07471942015733
Google MediaPipe Hand Landmarker,camera,right,415,829,733,733,0.8841978287092883,1.0,0.9385403329065302,0.30662301108621975,0.5950944913550462,0.3467810043526278,0.6730331969076853,26.728925047522242,0.09841135570396867,0.8472032742155525,18.11655241818699,32.321640491872714,23.60831800615415,61.18421593564562,32.321640491872714
OpenMMLab RTMPose-m + MediaPipe boxes,overall,all,830,1658,1475,1469,0.8860072376357057,0.9959322033898305,0.9377593360995851,0.4357803435004883,0.7447297374921018,0.49184738565269537,0.8405458847936724,17.790410217588715,0.06366019144632004,0.8373042886317222,nan,43.232815106348866,34.723040531389415,71.76555715559516,11.034635150333845
OpenMMLab RTMPose-m + MediaPipe boxes,task,Affix Shipping Label (on Package Surface),118,236,229,229,0.9703389830508474,1.0,0.9849462365591398,0.47538337368845845,0.821226795803067,0.48991474318985234,0.8463297982948638,18.66744783210066,0.062172666223551366,0.8296943231441049,nan,42.54303827647009,34.7091119911056,71.00439991045278,10.74094967709428
OpenMMLab RTMPose-m + MediaPipe boxes,task,Clean Pastry Tongs,130,260,240,238,0.9153846153846154,0.9916666666666667,0.9520000000000001,0.5252747252747253,0.8201465201465201,0.5738295318127251,0.8959583833533413,15.140940724383775,0.05478695327224116,0.7773109243697479,nan,49.65575357514004,34.92596955038607,72.88141969766002,15.657699881837917
OpenMMLab RTMPose-m + MediaPipe boxes,task,Organize Weightlifting Wrist Wraps,174,348,315,314,0.9022988505747126,0.9968253968253968,0.947209653092006,0.5677339901477833,0.8389436234263821,0.6292083712465878,0.929784652714589,13.182221540040237,0.047974958915209164,0.9426751592356688,nan,43.510763127498606,34.67378404457122,72.63051562476903,10.60184272542735
OpenMMLab RTMPose-m + MediaPipe boxes,task,Showerhead Descaling by Scrubbing,408,814,691,688,0.8452088452088452,0.9956584659913169,0.9142857142857143,0.3393003393003393,0.6581841581841582,0.4014396456256921,0.7787236987818383,20.51817674434709,0.07438350100477005,0.8125,nan,41.26724821738511,34.7235115186777,71.00444520183373,9.831111504942836
OpenMMLab RTMPose-m + MediaPipe boxes,camera,left,415,829,742,736,0.887816646562123,0.9919137466307277,0.9369828134945895,0.438968349704176,0.7539203860072377,0.49443581780538304,0.8491847826086957,17.43704641989222,0.06265609574545804,0.8274456521739131,nan,43.897886593063106,34.91372196003795,71.54648559517227,11.823167172905777
OpenMMLab RTMPose-m + MediaPipe boxes,camera,right,415,829,733,733,0.8841978287092883,1.0,0.9385403329065302,0.4325923372968005,0.735539088976966,0.48924835964399405,0.8318716299616709,18.14522025183786,0.06466839667938203,0.8472032742155525,nan,42.567743619634626,34.60893500596285,72.09594052983445,10.246103127761913
OpenMMLab RTMPose-m + reference boxes,overall,all,830,1658,1658,1658,1.0,1.0,1.0,0.4846056637371475,0.8324717100350394,0.4846056637371475,0.8324717100350394,17.57714125683943,0.06444192388560206,1.0,nan,11.699872232864173,10.890056000789627,11.913571163313463,11.699872232864173
OpenMMLab RTMPose-m + reference boxes,task,Affix Shipping Label (on Package Surface),118,236,236,236,1.0,1.0,1.0,0.5020177562550444,0.8480629539951574,0.5020177562550444,0.8480629539951574,18.11554071348291,0.0611806233791807,1.0,nan,10.87005635559701,10.820271505508572,11.86067711096257,10.87005635559701
OpenMMLab RTMPose-m + reference boxes,task,Clean Pastry Tongs,130,260,260,260,1.0,1.0,1.0,0.5851648351648352,0.9025641025641026,0.5851648351648352,0.9025641025641026,14.030821360440711,0.05234738390518759,1.0,nan,15.758451646587883,10.874344006879255,12.063434097217394,15.758451646587883
OpenMMLab RTMPose-m + reference boxes,task,Organize Weightlifting Wrist Wraps,174,348,348,348,1.0,1.0,1.0,0.6232895457033388,0.9243295019157088,0.6232895457033388,0.9243295019157088,13.31836964094819,0.04879408322351162,1.0,nan,10.931756376187135,10.853831510758027,11.953507730504498,10.931756376187135
OpenMMLab RTMPose-m + reference boxes,task,Showerhead Descaling by Scrubbing,408,814,814,814,1.0,1.0,1.0,0.38814788814788814,0.7662922662922663,0.38814788814788814,0.7662922662922663,20.37447961510228,0.07594032175394444,1.0,nan,10.974272009323114,10.921439999947324,11.829413793748245,10.974272009323114
